timestamp,Temperature,(S1)-SP510,(S2)-SP215
2025-10-25 05:28:01,18.25,7.94573714076045,1.351891051110206
2025-10-25 05:28:03,18.25,7.620539618204377,1.21034102106693
2025-10-25 05:28:04,18.25,8.054143912610916,1.21034102106693
2025-10-25 05:28:06,18.25,5.236802465078656,1.21034102106693
2025-10-25 05:28:08,18.25,2.963132173629189,1.21034102106693
2025-10-25 05:28:09,18.25,4.4245850450915505,1.351891051110206
2025-10-25 05:28:11,18.25,6.807695390845977,1.351891051110206
2025-10-25 05:28:13,18.25,5.77839945858735,1.3165041299441356
2025-10-25 05:28:14,18.25,7.024432957895842,1.245729114922498
2025-10-25 05:28:16,18.25,7.783134105795792,1.245729114922498
2025-10-25 05:28:17,18.25,7.94573714076045,1.3872775813797764
2025-10-25 05:28:19,18.25,7.620539618204377,1.3165041299441356
2025-10-25 05:28:21,18.25,7.566343355090183,1.245729114922498
2025-10-25 05:28:22,18.25,7.3495677997147855,1.174952536314863
2025-10-25 05:28:24,18.25,7.94573714076045,1.351891051110206
2025-10-25 05:28:26,18.25,7.94573714076045,1.3165041299441356
2025-10-25 05:28:27,18.25,7.837334167742538,1.245729114922498
2025-10-25 05:28:29,18.25,7.403760263996427,1.21034102106693
2025-10-25 05:28:30,18.25,7.3495677997147855,1.245729114922498
2025-10-25 05:28:32,18.25,7.512148041684124,1.3165041299441356
2025-10-25 05:28:34,18.25,7.620539618204377,1.245729114922498
2025-10-25 05:28:35,18.25,7.566343355090183,1.351891051110206
2025-10-25 05:28:37,18.25,7.024432957895842,1.3165041299441356
2025-10-25 05:28:39,18.25,7.620539618204377,1.3165041299441356
2025-10-25 05:28:40,18.25,7.566343355090183,1.245729114922498
2025-10-25 05:28:42,18.25,8.433597529893898,1.245729114922498
2025-10-25 05:28:44,18.25,8.975754851204202,1.245729114922498
2025-10-25 05:28:45,18.25,7.837334167742538,1.351891051110206
2025-10-25 05:28:47,18.25,7.078619723928652,1.245729114922498
2025-10-25 05:28:48,18.25,1.7728306154945614,1.245729114922498
2025-10-25 05:28:50,18.25,-4.765611554287192,1.245729114922498
2025-10-25 05:28:52,18.25,-10.966945911750166,1.351891051110206
2025-10-25 05:28:53,18.25,-14.358873633176572,1.3872775813797764
2025-10-25 05:28:55,18.25,-15.596257190761214,1.3165041299441356
2025-10-25 05:28:57,18.25,-15.381096139220968,1.245729114922498
2025-10-25 05:28:58,18.25,-15.219715378630333,1.245729114922498
2025-10-25 05:29:00,18.25,-15.004527735262208,1.245729114922498
2025-10-25 05:29:01,18.25,-15.004527735262208,1.351891051110206
2025-10-25 05:29:03,18.25,-15.219715378630333,1.245729114922498
2025-10-25 05:29:05,18.25,-15.112123456362546,1.245729114922498
2025-10-25 05:29:06,18.25,-15.004527735262208,1.351891051110206
2025-10-25 05:29:08,18.25,-15.219715378630333,1.3872775813797764
2025-10-25 05:29:10,18.25,-15.381096139220968,1.351891051110206
2025-10-25 05:29:11,18.25,-10.266555162619625,1.245729114922498
2025-10-25 05:29:13,18.25,-5.305356616926156,1.245729114922498
2025-10-25 05:29:15,18.25,2.3679239372195067,1.3165041299441356
2025-10-25 05:29:16,18.25,6.590973019126327,1.245729114922498
2025-10-25 05:29:18,18.25,8.379387021157628,1.3165041299441356
2025-10-25 05:29:19,18.25,8.054143912610916,1.21034102106693
2025-10-25 05:29:21,18.25,7.72893499355718,1.245729114922498
2025-10-25 05:29:23,18.25,7.999940051831615,1.21034102106693
2025-10-25 05:29:24,18.25,7.94573714076045,1.3165041299441356
2025-10-25 05:29:26,18.25,3.3419608829571557,1.21034102106693
2025-10-25 05:29:28,18.25,-3.4698359230332403,1.3165041299441356
2025-10-25 05:29:29,18.25,-10.535955214140293,1.21034102106693
2025-10-25 05:29:31,18.25,-15.219715378630333,1.3165041299441356
2025-10-25 05:29:33,18.25,-15.112123456362546,1.21034102106693
2025-10-25 05:29:34,18.25,-15.112123456362546,1.174952536314863
2025-10-25 05:29:36,18.25,-15.219715378630333,1.174952536314863
2025-10-25 05:29:37,18.25,-15.327303502065561,1.174952536314863
2025-10-25 05:29:39,18.25,-15.703832018282512,1.351891051110206
2025-10-25 05:29:41,18.25,-15.811403046971254,1.3165041299441356
2025-10-25 05:29:42,18.25,-15.434887826668238,1.245729114922498
2025-10-25 05:29:44,18.25,-15.112123456362546,1.3165041299441356
2025-10-25 05:29:46,18.25,-15.918970276827437,1.21034102106693
2025-10-25 05:29:47,18.25,-16.02653370785107,1.351891051110206
2025-10-25 05:29:49,18.25,-15.327303502065561,1.3165041299441356
2025-10-25 05:29:50,18.25,-15.004527735262208,1.245729114922498
2025-10-25 05:29:52,18.25,-15.596257190761214,1.245729114922498
2025-10-25 05:29:54,18.25,-15.219715378630333,1.21034102106693
2025-10-25 05:29:55,18.25,-15.381096139220968,1.245729114922498
2025-10-25 05:29:57,18.25,-15.811403046971254,1.21034102106693
2025-10-25 05:29:59,18.25,-15.165919892350509,1.3165041299441356
2025-10-25 05:30:00,18.25,-15.327303502065561,1.3165041299441356
2025-10-25 05:30:02,18.25,-15.434887826668238,1.351891051110206
2025-10-25 05:30:04,18.25,-15.865187136753413,1.351891051110206
2025-10-25 05:30:05,18.25,-15.112123456362546,1.3165041299441356
2025-10-25 05:30:07,18.25,-15.811403046971254,1.174952536314863
